query_id,cost_ratio,detour_m,diverge_lat,diverge_lon,progress_fraction,straight_line_km
815,1.054232,297.750000,37.734210,-122.488913,0.032000,4.426418
816,1.000891,8.780000,37.728717,-122.425990,0.339662,6.655439
817,1.011111,44.290000,37.747004,-122.445097,0.550432,3.177990
818,1.009307,45.760000,37.740117,-122.463725,0.390449,4.084997
819,1.058539,208.550000,37.767601,-122.428901,0.164557,3.163822
822,1.000577,2.630000,37.773414,-122.421570,0.594470,4.013729
825,1.014573,79.320000,37.784885,-122.427984,0.365019,4.686456
826,1.001615,6.330000,37.732420,-122.405709,0.904494,3.020726
827,1.001357,10.020000,37.742352,-122.491684,0.067308,5.189026
829,1.000763,4.640000,37.792181,-122.422707,0.044118,4.558018
830,1.015232,43.160000,37.718244,-122.455125,0.210526,2.077257
831,1.014983,197.110000,37.775065,-122.419515,0.150909,11.325819
832,1.004765,54.720000,37.764387,-122.435364,0.556522,9.006993
833,1.016341,167.840000,37.787012,-122.433575,0.130435,8.240275
835,1.054042,189.490000,37.738175,-122.409656,0.007874,2.724046
836,1.001467,11.160000,37.777864,-122.453333,0.957965,6.159826
837,1.004000,47.640000,37.757760,-122.391300,0.031414,10.536886
839,1.006112,56.770000,37.760527,-122.503714,0.002193,7.320887
840,1.066062,327.280000,37.736629,-122.424287,0.167464,4.338504
841,1.008465,54.990000,37.772194,-122.452358,0.619377,4.909833
842,1.003923,27.740000,37.768670,-122.403928,0.089021,5.517547
843,1.019973,99.260000,37.780894,-122.445335,0.021008,4.472118
844,1.010148,47.250000,37.741913,-122.500249,0.017668,3.726528
845,1.019943,63.290000,37.755306,-122.420921,0.344538,2.348659
846,1.000289,1.160000,37.735653,-122.390344,0.095506,3.030140
847,1.002481,13.800000,37.745431,-122.451780,0.799320,4.726076
848,1.012947,94.010000,37.758232,-122.400999,0.166667,6.015521
849,1.009932,66.430000,37.772874,-122.423815,0.028777,5.426806
850,1.001613,14.950000,37.761661,-122.476856,0.315909,7.667256
851,1.046294,430.270000,37.758457,-122.463790,0.158273,6.863171
853,1.004124,44.560000,37.720107,-122.447152,0.335391,9.771476
855,1.001863,23.020000,37.780496,-122.451888,0.969571,9.200383
856,1.008114,80.220000,37.742824,-122.421688,0.343750,7.929981
857,1.007970,64.360000,37.730275,-122.470058,0.328502,6.982738
858,1.002646,13.290000,37.798567,-122.408925,0.029536,4.052411
859,1.001519,7.720000,37.759351,-122.433840,0.007905,4.241658
860,1.000820,9.190000,37.788846,-122.401987,0.843284,9.156520
861,1.013240,75.340000,37.757432,-122.453892,0.177719,4.779401
862,1.027859,236.580000,37.723698,-122.438745,0.028302,7.817063
863,1.001289,5.940000,37.741938,-122.501425,0.021053,3.855322
864,1.001749,16.180000,37.726826,-122.472274,0.098532,7.786142
865,1.005272,59.420000,37.711451,-122.456249,0.504115,3.468042
866,1.025168,231.990000,37.782623,-122.469784,0.003413,6.799695
867,1.013041,91.570000,37.745571,-122.410498,0.038732,5.436972
868,1.024688,314.680000,37.746472,-122.461742,0.577808,10.551186
869,1.017844,84.700000,37.780822,-122.467509,0.299539,3.444612
870,1.000242,1.760000,37.769969,-122.425908,0.089325,5.565012
871,1.000470,0.940000,37.731506,-122.448881,0.916667,1.289033
872,1.028719,75.690000,37.787698,-122.403440,0.227273,2.222454
873,1.019918,166.190000,37.755311,-122.494746,0.014000,6.725659
874,1.062246,453.420000,37.734552,-122.444440,0.019802,5.831738
876,1.033166,391.670000,37.720993,-122.475368,0.039755,9.823022
877,1.027600,211.450000,37.789015,-122.440519,0.145251,6.564305
878,1.062903,554.980000,37.797053,-122.405701,0.004474,7.392062
880,1.001228,4.970000,37.788846,-122.401987,0.765027,3.669923
881,1.025780,272.490000,37.722471,-122.436496,0.039698,8.602819
882,1.008994,11.720000,37.760260,-122.419996,0.081633,0.978478
883,1.043093,351.310000,37.746552,-122.458633,0.027719,6.521319
884,1.003556,33.890000,37.765435,-122.452893,0.481900,7.144750
885,1.016827,132.790000,37.751042,-122.466498,0.033426,5.953224
887,1.036446,147.660000,37.805312,-122.417370,0.097087,3.625170
888,1.012000,69.880000,37.752078,-122.398574,0.015686,5.279787
889,1.027630,141.930000,37.765952,-122.500280,0.003745,4.566939
891,1.009662,77.850000,37.758601,-122.464876,0.234987,6.432595
892,1.014939,173.880000,37.746769,-122.419002,0.559838,9.448094
893,1.016696,97.220000,37.760493,-122.446376,0.098765,5.043436
896,1.009744,26.240000,37.735955,-122.446312,0.004695,1.972900
897,1.005947,23.130000,37.735295,-122.501059,0.888889,2.996967
898,1.005352,36.020000,37.755300,-122.421025,0.014706,6.257183
899,1.000909,7.670000,37.761777,-122.437307,0.556680,6.223687
900,1.021471,100.100000,37.753984,-122.417534,0.021739,3.583886
901,1.034764,321.130000,37.746472,-122.461742,0.302187,7.333032
902,1.025438,186.180000,37.739007,-122.424981,0.450920,5.887958
903,1.004022,21.010000,37.731601,-122.436695,0.891304,4.035296
904,1.005329,17.800000,37.733591,-122.459056,0.148148,2.609583
905,1.014515,92.240000,37.746308,-122.424563,0.069388,5.201684
906,1.012225,119.150000,37.745438,-122.451621,0.406360,7.440139
911,1.008181,55.550000,37.744892,-122.456898,0.194070,4.706605
913,1.044081,178.190000,37.765757,-122.417684,0.046358,3.080437
914,1.005697,29.490000,37.761868,-122.446837,0.662577,3.614517
915,1.001375,6.550000,37.759414,-122.488676,0.013825,3.462634
916,1.027014,296.060000,37.771519,-122.411203,0.346723,9.959756
917,1.016389,169.360000,37.746472,-122.461742,0.447452,8.157434
918,1.002399,17.230000,37.741290,-122.408780,0.735484,5.208684
919,1.012237,80.210000,37.729196,-122.430770,0.853282,5.970915
920,1.021440,201.290000,37.784764,-122.421212,0.020284,8.314945
922,1.008444,64.870000,37.798887,-122.442642,0.400978,6.021185
924,1.034707,250.740000,37.719409,-122.450818,0.040678,6.370060
925,1.029346,364.020000,37.761931,-122.437323,0.327609,9.125203
926,1.028708,230.500000,37.708853,-122.432483,0.003049,6.111465
928,1.001109,3.360000,37.786304,-122.409064,0.232759,2.396959
929,1.022921,154.940000,37.757942,-122.477735,0.071672,5.782214
931,1.003497,31.620000,37.720735,-122.446626,0.443497,7.773963
932,1.000280,2.620000,37.771127,-122.424435,0.336957,7.724701
933,1.027358,236.360000,37.743921,-122.452607,0.020833,7.378440
934,1.016050,126.360000,37.733604,-122.434138,0.326471,6.341417
