rank,node_id,betweenness,lat,lon,pct_of_total
433,19935,3337.926000,37.767317,-122.477972,0.013615
434,19936,3337.466000,37.767385,-122.478008,0.013613
435,45654,3337.044000,37.767643,-122.428906,0.013611
436,35721,3337.010000,37.767452,-122.478041,0.013611
437,19937,3336.554000,37.767527,-122.478075,0.013609
438,35674,3336.098000,37.767600,-122.478105,0.013608
439,8314,3335.692000,37.767672,-122.478132,0.013606
440,35705,3335.336000,37.767750,-122.478157,0.013604
441,8315,3334.980000,37.767828,-122.478181,0.013603
442,35718,3334.626000,37.767909,-122.478201,0.013602
443,19938,3334.274000,37.767982,-122.478217,0.013600
444,19939,3333.924000,37.768052,-122.478230,0.013599
445,35682,3333.576000,37.768130,-122.478241,0.013597
446,8316,3333.228000,37.768202,-122.478248,0.013596
447,35742,3332.888000,37.768693,-122.478293,0.013594
448,8317,3332.560000,37.768790,-122.478303,0.013593
449,8318,3332.236000,37.768889,-122.478313,0.013592
450,35690,3331.912000,37.768989,-122.478328,0.013590
451,19940,3331.588000,37.769075,-122.478346,0.013589
452,8319,3331.264000,37.769161,-122.478367,0.013588
453,8293,3331.184000,37.771101,-122.479354,0.013588
454,35670,3330.942000,37.769244,-122.478390,0.013587
455,19941,3330.622000,37.769321,-122.478415,0.013585
456,35726,3330.304000,37.769399,-122.478443,0.013584
457,8320,3329.988000,37.769483,-122.478476,0.013583
458,19942,3329.672000,37.769556,-122.478509,0.013581
459,35691,3329.360000,37.769630,-122.478545,0.013580
460,35739,3329.054000,37.769703,-122.478583,0.013579
461,53817,3328.764000,37.769976,-122.478737,0.013578
462,8321,3328.514000,37.770614,-122.479090,0.013577
463,18845,3328.298000,37.770918,-122.479256,0.013576
464,58592,3328.096000,37.770997,-122.479299,0.013575
465,37298,3307.663333,37.776543,-122.417620,0.013492
466,9347,3306.076000,37.727446,-122.441119,0.013485
467,8117,3295.764000,37.720723,-122.446614,0.013443
468,15618,3288.787000,37.732436,-122.474908,0.013415
469,13732,3275.097000,37.766011,-122.430963,0.013359
470,10602,3268.091000,37.738006,-122.407019,0.013330
471,5694,3247.304000,37.726951,-122.441449,0.013245
472,46004,3246.616000,37.727000,-122.441416,0.013243
473,45997,3226.180000,37.729532,-122.439107,0.013159
474,9351,3226.160000,37.729251,-122.439558,0.013159
475,24732,3225.461000,37.767810,-122.428713,0.013156
476,26288,3224.877000,37.768068,-122.428390,0.013154
477,13749,3224.727000,37.769552,-122.426491,0.013153
478,26278,3224.407000,37.768268,-122.428113,0.013152
479,26289,3224.385000,37.769422,-122.426649,0.013152
480,38515,3224.319000,37.768135,-122.428298,0.013152
481,13750,3224.049000,37.769390,-122.426688,0.013151
482,16899,3223.973000,37.768660,-122.427620,0.013150
483,60358,3223.761000,37.769256,-122.426860,0.013149
484,62599,3223.735000,37.769013,-122.427172,0.013149
485,26988,3223.667000,37.769118,-122.427037,0.013149
486,9350,3218.564000,37.728921,-122.440081,0.013128
487,53545,3217.346667,37.771553,-122.453959,0.013123
488,45999,3217.302000,37.729213,-122.439618,0.013123
489,54787,3216.638000,37.729198,-122.439643,0.013120
490,24373,3215.980000,37.729042,-122.439892,0.013118
491,26093,3215.344000,37.728983,-122.439986,0.013115
492,46001,3214.724000,37.728964,-122.440014,0.013112
493,32965,3209.184000,37.743954,-122.422601,0.013090
494,42046,3176.863333,37.775174,-122.419374,0.012958
495,5611,3174.923000,37.769650,-122.426132,0.012950
496,35736,3167.326000,37.765555,-122.477273,0.012919
497,50782,3166.584000,37.765888,-122.477295,0.012916
498,39071,3165.856000,37.765935,-122.477298,0.012913
499,16865,3165.132000,37.765973,-122.477301,0.012910
500,41137,3146.448000,37.748218,-122.417943,0.012834
