rank,node_id,betweenness,lat,lon,pct_of_total
304,59050,4113.840000,40.746688,-73.942083,0.022442
305,27973,4113.354000,40.747036,-73.942325,0.022439
306,59100,4112.868000,40.747063,-73.942351,0.022437
307,35251,4104.227000,40.807775,-73.952918,0.022389
308,6901,4097.926000,40.745823,-73.945642,0.022355
309,49931,4090.822000,40.745781,-73.945746,0.022316
310,6874,4090.474000,40.745613,-73.946177,0.022314
311,59001,4081.922000,40.737469,-73.935067,0.022268
312,51757,4081.376000,40.737444,-73.935082,0.022265
313,51751,4080.830000,40.737431,-73.935095,0.022262
314,7085,4080.318000,40.736889,-73.935650,0.022259
315,27898,4080.286000,40.737226,-73.935300,0.022259
316,58998,4079.760000,40.736963,-73.935585,0.022256
317,2736,4072.342000,40.752989,-73.969897,0.022216
318,2737,4066.574000,40.753624,-73.969431,0.022184
319,58997,4065.854000,40.736825,-73.935714,0.022180
320,7086,4065.470000,40.735749,-73.936764,0.022178
321,51753,4065.308000,40.736688,-73.935850,0.022177
322,58996,4064.780000,40.735814,-73.936700,0.022174
323,49929,4063.972000,40.746198,-73.941963,0.022170
324,34954,4063.434000,40.746277,-73.942318,0.022167
325,34955,4055.130000,40.746304,-73.942628,0.022122
326,7092,4055.108000,40.746343,-73.942805,0.022121
327,59008,4053.752000,40.735686,-73.936823,0.022114
328,7087,4053.598000,40.735438,-73.937058,0.022113
329,49928,4052.214000,40.746362,-73.942881,0.022106
330,59056,4051.728000,40.746372,-73.942916,0.022103
331,7091,4051.242000,40.746386,-73.942951,0.022100
332,59057,4050.756000,40.746404,-73.942985,0.022098
333,7090,4050.270000,40.746422,-73.943009,0.022095
334,59058,4049.784000,40.746450,-73.943040,0.022092
335,59059,4049.298000,40.746478,-73.943067,0.022090
336,7089,4048.812000,40.746507,-73.943089,0.022087
337,27966,4048.338000,40.746682,-73.943209,0.022085
338,52039,4044.510000,40.735243,-73.937246,0.022064
339,66621,4043.980000,40.735102,-73.937382,0.022061
340,27214,4043.468000,40.734778,-73.937692,0.022058
341,75648,4042.974000,40.734666,-73.937800,0.022055
342,17606,4042.964000,40.734277,-73.938183,0.022055
343,27213,4042.504000,40.734512,-73.937948,0.022053
344,18625,4042.386000,40.734066,-73.938539,0.022052
345,59018,4042.042000,40.734476,-73.937978,0.022050
346,48221,4041.808000,40.733831,-73.939010,0.022049
347,17605,4041.230000,40.733738,-73.939196,0.022046
348,17607,4040.652000,40.733677,-73.939320,0.022043
349,59020,4040.074000,40.733620,-73.939440,0.022039
350,31709,4039.496000,40.733568,-73.939564,0.022036
351,17604,4038.918000,40.733519,-73.939691,0.022033
352,39691,4038.340000,40.733384,-73.940063,0.022030
353,39692,4037.762000,40.733160,-73.940678,0.022027
